index,Restaurant,URL,Rating,Number_of_reviews,Address,Marquee,Distribution,DollarSigns,RestaurantType
1635,Greenlake Chocolati Cafe,https://www.tripadvisor.com/Restaurant_Review-g60878-d4231739-Reviews-Greenlake_Chocolati_Cafe-Seattle_Washington.html,4,23,"7810 E Green Lake Dr N, Seattle, WA 98103-4983",#86 of 112 Desserts in Seattle,"[13, 5, 1, 0, 2]",$$ - $$$,Dessert
1636,The Grill King All You Can Eat Korean BBQ,https://www.tripadvisor.com/Restaurant_Review-g58740-d4726560-Reviews-The_Grill_King_All_You_Can_Eat_Korean_BBQ-Shoreline_Washington.html,4.5,10,"15740 Aurora Ave N, Shoreline, WA 98133-5922",#16 of 55 Restaurants in Shoreline,"[4, 5, 1, 0, 0]",,BarbecueAsianKorean
1637,Zeeks Pizza,https://www.tripadvisor.com/Restaurant_Review-g60878-d3640531-Reviews-Zeeks_Pizza-Seattle_Washington.html,4,24,"6459 California Avenue SW, Seattle, WA 98136","#1,008 of 2,182 Restaurants in Seattle","[6, 13, 4, 0, 1]",$$ - $$$,PizzaVegetarian Friendly
1638,U:DON Fresh Japanese Noodle Station,https://www.tripadvisor.com/Restaurant_Review-g60878-d8520992-Reviews-U_DON_Fresh_Japanese_Noodle_Station-Seattle_Washington.html,3.5,21,"1640 12th Ave Capitol Hill, Seattle, WA 98122-2567","#1,009 of 2,182 Restaurants in Seattle","[5, 4, 7, 1, 0]",$,JapaneseAsianSoups
1639,Steepologie Teas,https://www.tripadvisor.com/Restaurant_Review-g60878-d12606682-Reviews-Steepologie_Teas-Seattle_Washington.html,4.5,11,"1905 4th Ave (Intersects with Stewart Street), Seattle, WA 98101-1106","#1,010 of 2,182 Restaurants in Seattle","[10, 0, 0, 0, 1]",$$ - $$$,Cafe
1640,Young's Restaurant,https://www.tripadvisor.com/Restaurant_Review-g60878-d451174-Reviews-Young_s_Restaurant-Seattle_Washington.html,5,8,"9413 16th Ave SW, Seattle, WA 98106-2825","#1,011 of 2,182 Restaurants in Seattle","[6, 2, 0, 0, 0]",,Chinese
1641,I Love Sushi,https://www.tripadvisor.com/Restaurant_Review-g58349-d433299-Reviews-I_Love_Sushi-Bellevue_Washington.html,4,49,"11818 NE 8th St Ste A, Bellevue, WA 98005-3041",#122 of 316 Restaurants in Bellevue,"[13, 21, 7, 3, 3]",$$ - $$$,JapaneseSushiAsian
1642,Daman's Tavern,https://www.tripadvisor.com/Restaurant_Review-g58702-d445321-Reviews-Daman_s_Tavern-Redmond_Washington.html,4,22,"14810 NE 24th St, Redmond, WA 98052-5533",#43 of 125 Restaurants in Redmond,"[7, 9, 4, 0, 1]",$$ - $$$,AmericanBarPub
1643,Bella Balducci's Mediterranean Cuisine,https://www.tripadvisor.com/Restaurant_Review-g58541-d13218927-Reviews-Bella_Balducci_s_Mediterranean_Cuisine-Kirkland_Washington.html,4.5,10,"11834 98th Ave NE, Kirkland, WA 98034-4214",#54 of 147 Restaurants in Kirkland,"[7, 1, 1, 1, 0]",$$ - $$$,MediterraneanGreekMiddle Eastern
1644,Starbucks,https://www.tripadvisor.com/Restaurant_Review-g60878-d5081828-Reviews-Starbucks-Seattle_Washington.html,4,17,"516 1st Ave W, Seattle, WA 98119-3926",#94 of 225 Coffee & Tea in Seattle,"[6, 4, 1, 0, 0]",$,Quick BitesCafe
1645,McDonald's,https://www.tripadvisor.com/Restaurant_Review-g58349-d4884303-Reviews-McDonald_s-Bellevue_Washington.html,4,16,"3239 156th Ave SE, Bellevue, WA 98007",#25 of 42 Quick Bites in Bellevue,"[3, 6, 3, 0, 0]",$,Quick BitesFast Food
1646,Crawfish King,https://www.tripadvisor.com/Restaurant_Review-g60878-d1476360-Reviews-Crawfish_King-Seattle_Washington.html,3.5,29,"725 S Lane St, Seattle, WA 98104-3022","#1,012 of 2,182 Restaurants in Seattle","[11, 7, 3, 3, 4]",$$ - $$$,AmericanCajun & CreoleSeafood
1647,Dough Zone Dumpling House Bellevue,https://www.tripadvisor.com/Restaurant_Review-g58349-d23388697-Reviews-Dough_Zone_Dumpling_House_Bellevue-Bellevue_Washington.html,4.5,6,"10300 Main St Suite E, Bellevue, WA 98004-6118",#123 of 316 Restaurants in Bellevue,"[4, 1, 0, 1, 0]",$$ - $$$,ChineseInternationalAsian
1648,Top Pot Doughnuts,https://www.tripadvisor.com/Restaurant_Review-g60878-d8399068-Reviews-Top_Pot_Doughnuts-Seattle_Washington.html,4,22,"1416 NW 46th St, Seattle, WA 98107-4622",#64 of 88 Bakeries in Seattle,"[6, 12, 3, 1, 0]",$,Bakeries
1649,Feast,https://www.tripadvisor.com/Restaurant_Review-g58541-d20137594-Reviews-Feast-Kirkland_Washington.html,4,9,"115 Park Ln, Kirkland, WA 98033-6114",#55 of 147 Restaurants in Kirkland,"[2, 4, 3, 0, 0]",$$$$,French
1650,The Boar's Nest,https://www.tripadvisor.com/Restaurant_Review-g60878-d4441174-Reviews-The_Boar_s_Nest-Seattle_Washington.html,4,18,"2008 NW 56th St, Seattle, WA 98107-3127","#1,013 of 2,182 Restaurants in Seattle","[6, 8, 0, 1, 1]",$$ - $$$,Barbecue
1651,By's,https://www.tripadvisor.com/Restaurant_Review-g60878-d432292-Reviews-By_s-Seattle_Washington.html,4.5,10,"2901 4th Avenue S, Seattle, WA 98134-1914","#1,014 of 2,182 Restaurants in Seattle","[5, 5, 0, 0, 0]",,
1652,Lucky Louie Fish Shack,https://www.tripadvisor.com/Restaurant_Review-g60878-d17212982-Reviews-Lucky_Louie_Fish_Shack-Seattle_Washington.html,3.5,62,"17801 International Blvd, Seattle, WA 98158-1202",#246 of 302 Quick Bites in Seattle,"[22, 12, 6, 9, 12]",$$ - $$$,Quick BitesAmericanSeafood
1653,Monorail Espresso,https://www.tripadvisor.com/Restaurant_Review-g60878-d14083034-Reviews-Monorail_Espresso-Seattle_Washington.html,5,5,"2120 Westlake Ave, Seattle, WA 98121-2717",#95 of 225 Coffee & Tea in Seattle,"[5, 0, 0, 0, 0]",,AmericanCafe
1654,Aloha Plates,https://www.tripadvisor.com/Restaurant_Review-g60878-d4642901-Reviews-Aloha_Plates-Seattle_Washington.html,4.5,9,"511 S Weller St, Seattle, WA 98104-3899","#1,015 of 2,182 Restaurants in Seattle","[5, 3, 1, 0, 0]",,
1655,Fremont Bowl,https://www.tripadvisor.com/Restaurant_Review-g60878-d13271096-Reviews-Fremont_Bowl-Seattle_Washington.html,4.5,16,"4258 Fremont Ave N Suite 4262, Seattle, WA 98103-7279","#1,016 of 2,182 Restaurants in Seattle","[11, 1, 0, 1, 2]",$$ - $$$,JapaneseSeafoodAsian
1656,Bad Jimmy's Brewing Co,https://www.tripadvisor.com/Restaurant_Review-g60878-d6771048-Reviews-Bad_Jimmy_s_Brewing_Co-Seattle_Washington.html,4.5,12,"4358B Leary Way NW, Seattle, WA 98107-4554",#28 of 69 Bars & Pubs in Seattle,"[8, 2, 1, 1, 0]",$$ - $$$,Brew PubPub
1657,Metropolitan Deli & Cafe - Dexter Avenue,https://www.tripadvisor.com/Restaurant_Review-g60878-d13519366-Reviews-Metropolitan_Deli_Cafe_Dexter_Avenue-Seattle_Washington.html,4.5,9,"903 Dexter Ave N, Seattle, WA 98109-3515","#1,018 of 2,182 Restaurants in Seattle","[3, 5, 0, 0, 0]",$,Cafe
1658,Shake Shack Kirkland,https://www.tripadvisor.com/Restaurant_Review-g58541-d19929005-Reviews-Shake_Shack_Kirkland-Kirkland_Washington.html,4,7,"300 Peter Kirk Lane, Kirkland, WA 98033",#56 of 147 Restaurants in Kirkland,"[2, 4, 1, 0, 0]",,
1659,Umai Sushi & Teriyaki,https://www.tripadvisor.com/Restaurant_Review-g60878-d5088172-Reviews-Umai_Sushi_Teriyaki-Seattle_Washington.html,4.5,11,"91 Pike St, Seattle, WA 98101-2024","#1,019 of 2,182 Restaurants in Seattle","[7, 2, 2, 0, 0]",$$ - $$$,SushiAsian
1660,Greek Express,https://www.tripadvisor.com/Restaurant_Review-g58349-d5423273-Reviews-Greek_Express-Bellevue_Washington.html,4,16,"14835 Main St, Bellevue, WA 98007-5245",#26 of 42 Quick Bites in Bellevue,"[9, 3, 3, 0, 1]",$,Quick BitesFast FoodMediterranean
1661,Peony,https://www.tripadvisor.com/Restaurant_Review-g58349-d12430907-Reviews-Peony-Bellevue_Washington.html,3.5,42,"10317 Main St, Bellevue, WA 98004-6119",#124 of 316 Restaurants in Bellevue,"[12, 11, 6, 7, 4]",$$ - $$$,ChineseAsianVegetarian Friendly
1662,Castello Pizza and Pasta,https://www.tripadvisor.com/Restaurant_Review-g60878-d12907966-Reviews-Castello_Pizza_and_Pasta-Seattle_Washington.html,4.5,6,"3756 Rainier Ave S Ste B, Seattle, WA 98144-6989","#1,020 of 2,182 Restaurants in Seattle","[3, 2, 1, 0, 0]",,Pizza
1663,Pegasus Coffee Bar,https://www.tripadvisor.com/Restaurant_Review-g60878-d4931980-Reviews-Pegasus_Coffee_Bar-Seattle_Washington.html,4.5,10,"711 3rd Ave, Seattle, WA 98104-1704",#96 of 225 Coffee & Tea in Seattle,"[4, 5, 1, 0, 0]",,
1664,Sweet Alchemy,https://www.tripadvisor.com/Restaurant_Review-g60878-d12874724-Reviews-Sweet_Alchemy-Seattle_Washington.html,4.5,9,"4301 University Way NE, Seattle, WA 98105-5808",#87 of 112 Desserts in Seattle,"[7, 0, 0, 0, 1]",,DessertCafe
1665,Cairde Public House Bar & Restaurant,https://www.tripadvisor.com/Restaurant_Review-g60878-d23285393-Reviews-Cairde_Public_House_Bar_Restaurant-Seattle_Washington.html,4,12,"701 5th Ave N #100, Seattle, WA 98109-5100","#1,021 of 2,182 Restaurants in Seattle","[4, 4, 2, 1, 1]",$$ - $$$,AmericanIrishBar
1666,Pagliacci Pizza,https://www.tripadvisor.com/Restaurant_Review-g58541-d3785728-Reviews-Pagliacci_Pizza-Kirkland_Washington.html,4.5,13,"13005 NE 70th Pl, Kirkland, WA 98033-8630",#57 of 147 Restaurants in Kirkland,"[7, 6, 0, 0, 0]",,ItalianPizza
1667,Noi Thai Cuisine - Green Lake,https://www.tripadvisor.com/Restaurant_Review-g60878-d24007032-Reviews-Noi_Thai_Cuisine_Green_Lake-Seattle_Washington.html,5,4,"7900 E Green Lake Dr N, Seattle, WA 98103-4800","#1,022 of 2,182 Restaurants in Seattle","[3, 1, 0, 0, 0]",$$ - $$$,AsianThai
1668,Krua Thai Family Kitchen,https://www.tripadvisor.com/Restaurant_Review-g60878-d1132911-Reviews-Krua_Thai_Family_Kitchen-Seattle_Washington.html,4,19,"2515 NE 55th St, Seattle, WA 98105-5524","#1,023 of 2,182 Restaurants in Seattle","[8, 9, 1, 0, 1]",$$ - $$$,AsianThaiVegetarian Friendly
1669,Rupee Bar,https://www.tripadvisor.com/Restaurant_Review-g60878-d21211171-Reviews-Rupee_Bar-Seattle_Washington.html,4.5,5,"6307 24th Ave NW, Seattle, WA 98107-2423","#1,024 of 2,182 Restaurants in Seattle","[4, 0, 1, 0, 0]",,
1670,Pigfish Cafe,https://www.tripadvisor.com/Restaurant_Review-g58375-d18856572-Reviews-Pigfish_Cafe-Burien_Washington.html,4.5,6,"921 SW 152nd St, Burien, WA 98166-1843",#25 of 70 Restaurants in Burien,"[4, 2, 0, 0, 0]",$$ - $$$,AmericanInternational
1671,McCormick & Schmick,https://www.tripadvisor.com/Restaurant_Review-g58791-d432435-Reviews-McCormick_Schmick-Tukwila_Washington.html,4.5,12,"9404 E Marginal Way S, Tukwila, WA 98108-4046",#32 of 90 Restaurants in Tukwila,"[6, 4, 1, 0, 0]",$$ - $$$,Seafood
1672,Pizza and Pasta Bar,https://www.tripadvisor.com/Restaurant_Review-g60878-d15226711-Reviews-Pizza_and_Pasta_Bar-Seattle_Washington.html,3.5,34,"1530 Post Aly Ste 7, Seattle, WA 98101-1566","#1,025 of 2,182 Restaurants in Seattle","[17, 4, 3, 1, 8]",$$ - $$$,ItalianPizza
1673,Shawn's Cafe & Bakery,https://www.tripadvisor.com/Restaurant_Review-g58605-d8084371-Reviews-Shawn_s_Cafe_Bakery-Mercer_Island_Washington.html,4.5,7,"7420 SE 24th St, Mercer Island, WA 98040-2340",#8 of 26 Restaurants in Mercer Island,"[4, 2, 1, 0, 0]",,Healthy
1674,Patty's Eggnest,https://www.tripadvisor.com/Restaurant_Review-g60878-d4231382-Reviews-Patty_s_Eggnest-Seattle_Washington.html,4,23,"9749 Holman Rd NW, Seattle, WA 98117-2042","#1,026 of 2,182 Restaurants in Seattle","[9, 6, 4, 3, 1]",$$ - $$$,American
1675,Shabu Shabu Kyoto Japanese Restaurant,https://www.tripadvisor.com/Restaurant_Review-g58349-d15084683-Reviews-Shabu_Shabu_Kyoto_Japanese_Restaurant-Bellevue_Washington.html,4.5,7,"627 156th Ave SE, Bellevue, WA 98007-5328",#125 of 316 Restaurants in Bellevue,"[4, 1, 1, 0, 0]",$$ - $$$,Japanese
1676,Capitol Coffee Works,https://www.tripadvisor.com/Restaurant_Review-g60878-d12431033-Reviews-Capitol_Coffee_Works-Seattle_Washington.html,4.5,9,"907 E Pike St, Seattle, WA 98122-3816",#97 of 225 Coffee & Tea in Seattle,"[4, 1, 2, 0, 0]",$$ - $$$,Cafe
1677,Thai Wisdom Bistro,https://www.tripadvisor.com/Restaurant_Review-g58541-d4637919-Reviews-Thai_Wisdom_Bistro-Kirkland_Washington.html,4,15,"8516 122nd Ave NE Ste # C-2, Kirkland, WA 98033-5831",#59 of 147 Restaurants in Kirkland,"[4, 8, 2, 0, 1]",$$ - $$$,SeafoodAsianThai
1678,Blue Water Taco Grill,https://www.tripadvisor.com/Restaurant_Review-g60878-d432760-Reviews-Blue_Water_Taco_Grill-Seattle_Washington.html,4,22,"600 University St, Seattle, WA 98101-1176",#247 of 302 Quick Bites in Seattle,"[4, 12, 4, 0, 0]",$,Quick BitesMexicanFast Food
1679,Wabi Sabi Sushi Bar & Restaurant Columbia City,https://www.tripadvisor.com/Restaurant_Review-g60878-d4257257-Reviews-Wabi_Sabi_Sushi_Bar_Restaurant_Columbia_City-Seattle_Washington.html,4.5,10,"4909 Rainier Ave S, Seattle, WA 98118-1743","#1,027 of 2,182 Restaurants in Seattle","[6, 4, 0, 0, 0]",$$ - $$$,SeafoodSushi
1680,Americano Burgers,https://www.tripadvisor.com/Restaurant_Review-g60878-d15162959-Reviews-Americano_Burgers-Seattle_Washington.html,5,4,"2818 Thorndyke Ave W, Seattle, WA 98199-2934","#1,028 of 2,182 Restaurants in Seattle","[3, 0, 0, 0, 0]",,
1681,I Love Teriyaki,https://www.tripadvisor.com/Restaurant_Review-g58349-d4455483-Reviews-I_Love_Teriyaki-Bellevue_Washington.html,4.5,11,"2255 140th Ave NE, Bellevue, WA 98005-1875",#126 of 316 Restaurants in Bellevue,"[5, 3, 2, 0, 0]",,Asian
1682,Toshi's Teriyaki,https://www.tripadvisor.com/Restaurant_Review-g58375-d894781-Reviews-Toshi_s_Teriyaki-Burien_Washington.html,4.5,7,"14200 1st Ave S Ste F, Burien, WA 98168-3430",#26 of 70 Restaurants in Burien,"[5, 2, 0, 0, 0]",,Japanese
1683,Takai By Kashiba,https://www.tripadvisor.com/Restaurant_Review-g58349-d24991813-Reviews-Takai_By_Kashiba-Bellevue_Washington.html,5,4,"180 Bellevue Way NE, Bellevue, WA 98004-5914",#127 of 316 Restaurants in Bellevue,"[3, 1, 0, 0, 0]",$$$$,Japanese
1684,Biang Biang Noodles,https://www.tripadvisor.com/Restaurant_Review-g60878-d23164197-Reviews-Biang_Biang_Noodles-Seattle_Washington.html,5,4,"601 E Pike St Unit 100, Seattle, WA 98122-5466","#1,029 of 2,182 Restaurants in Seattle","[3, 1, 0, 0, 0]",,Asian
1685,Feed Co. Burgers,https://www.tripadvisor.com/Restaurant_Review-g60878-d12910616-Reviews-Feed_Co_Burgers-Seattle_Washington.html,4,14,"1190 24th Ave, Seattle, WA 98122-4858","#1,030 of 2,182 Restaurants in Seattle","[3, 7, 1, 2, 0]",$,AmericanBarFast Food
1686,Kokkaku,https://www.tripadvisor.com/Restaurant_Review-g60878-d12870644-Reviews-Kokkaku-Seattle_Washington.html,5,9,"2208 N 45th St, Seattle, WA 98103-6904","#1,031 of 2,182 Restaurants in Seattle","[7, 2, 0, 0, 0]",$$ - $$$,Japanese
1687,Lan Hue Vietnamese Sandwich & Bakery,https://www.tripadvisor.com/Restaurant_Review-g60878-d12655661-Reviews-Lan_Hue_Vietnamese_Sandwich_Bakery-Seattle_Washington.html,5,6,"900 S Jackson St Ste 211 International District - Pacific Rim Center, Seattle, WA 98104-3058","#1,032 of 2,182 Restaurants in Seattle","[6, 0, 0, 0, 0]",,
1688,Cafe Hitchcock,https://www.tripadvisor.com/Restaurant_Review-g60878-d12923302-Reviews-Cafe_Hitchcock-Seattle_Washington.html,4,11,"818 1st Ave, Seattle, WA 98104-1405","#1,033 of 2,182 Restaurants in Seattle","[5, 3, 1, 0, 0]",$$ - $$$,AmericanCafeHealthy
1689,Pho Tic Tac,https://www.tripadvisor.com/Restaurant_Review-g58740-d4617234-Reviews-Pho_Tic_Tac-Shoreline_Washington.html,4,23,"14515 Aurora Ave N, Shoreline, WA 98133-6524",#17 of 55 Restaurants in Shoreline,"[6, 11, 2, 0, 3]",$,AsianVietnameseSoups
1690,Berry's BBQ,https://www.tripadvisor.com/Restaurant_Review-g58375-d2665362-Reviews-Berry_s_BBQ-Burien_Washington.html,4.5,9,"11614 Ambaum Blvd SW, Burien, WA 98146-2641",#27 of 70 Restaurants in Burien,"[6, 3, 0, 0, 0]",$$ - $$$,AmericanBarbecue
1691,Dicks Drive-In,https://www.tripadvisor.com/Restaurant_Review-g60878-d492512-Reviews-Dicks_Drive_In-Seattle_Washington.html,4,24,"12325 30th Ave NE, Seattle, WA 98125-5405",#248 of 302 Quick Bites in Seattle,"[10, 8, 0, 1, 4]",$,Quick BitesAmericanFast Food
1692,The Ballard Cut,https://www.tripadvisor.com/Restaurant_Review-g60878-d21204194-Reviews-The_Ballard_Cut-Seattle_Washington.html,4.5,7,"5313 Ballard Ave NW Ste A, Seattle, WA 98107-4061","#1,034 of 2,182 Restaurants in Seattle","[4, 2, 0, 1, 0]",,
1693,Cafe Pogacha,https://www.tripadvisor.com/Restaurant_Review-g58349-d433372-Reviews-Cafe_Pogacha-Bellevue_Washington.html,4,19,"10855 NE 4th St Summit 2 Bldg. Lobby #110, Bellevue, WA 98004-5531",#128 of 316 Restaurants in Bellevue,"[10, 4, 4, 0, 1]",$$ - $$$,ItalianAmericanCafe
1694,A la Mode Pies,https://www.tripadvisor.com/Restaurant_Review-g60878-d11777180-Reviews-A_la_Mode_Pies-Seattle_Washington.html,4.5,9,"4225 SW Alaska St, Seattle, WA 98116-4524","#1,035 of 2,182 Restaurants in Seattle","[6, 1, 2, 0, 0]",,
1695,Teriyaki Madness,https://www.tripadvisor.com/Restaurant_Review-g58541-d510060-Reviews-Teriyaki_Madness-Kirkland_Washington.html,4,18,"10600 NE 68th St Ste B, Kirkland, WA 98033-7044",#60 of 147 Restaurants in Kirkland,"[8, 6, 3, 1, 0]",$,JapaneseFast FoodAsian
1696,Thanh Vi,https://www.tripadvisor.com/Restaurant_Review-g60878-d950461-Reviews-Thanh_Vi-Seattle_Washington.html,4,24,"4226 University Way NE, Seattle, WA 98105-5807","#1,036 of 2,182 Restaurants in Seattle","[5, 14, 3, 0, 2]",$,AsianVietnameseSoups
1697,Ricardo's Restaurant,https://www.tripadvisor.com/Restaurant_Review-g58349-d3457651-Reviews-Ricardo_s_Restaurant-Bellevue_Washington.html,3.5,47,"4065 Factoria Blvd SE, Bellevue, WA 98006-6144",#129 of 316 Restaurants in Bellevue,"[12, 16, 11, 4, 3]",$$ - $$$,MexicanVegetarian Friendly
1698,Flowers Bar & Restaurant,https://www.tripadvisor.com/Restaurant_Review-g60878-d432218-Reviews-Flowers_Bar_Restaurant-Seattle_Washington.html,4,25,"4247 University Way NE, Seattle, WA 98105-5806","#1,037 of 2,182 Restaurants in Seattle","[8, 8, 6, 0, 2]",$$ - $$$,AmericanInternationalPub
1699,Beveridge Place Pub,https://www.tripadvisor.com/Restaurant_Review-g60878-d4717940-Reviews-Beveridge_Place_Pub-Seattle_Washington.html,4.5,10,"6413 California Ave SW, Seattle, WA 98136-1831",#29 of 69 Bars & Pubs in Seattle,"[3, 7, 0, 0, 0]",$$ - $$$,Pub
1700,Mighty o Donuts,https://www.tripadvisor.com/Restaurant_Review-g60878-d8659394-Reviews-Mighty_o_Donuts-Seattle_Washington.html,4,20,"1555 NW Market St, Seattle, WA 98107-5212",#65 of 88 Bakeries in Seattle,"[8, 5, 3, 1, 2]",$,Bakeries
1701,Tofu 101,https://www.tripadvisor.com/Restaurant_Review-g58349-d4318121-Reviews-Tofu_101-Bellevue_Washington.html,4.5,8,"12816 SE 38th St Ste G, Bellevue, WA 98006-1327",#130 of 316 Restaurants in Bellevue,"[4, 3, 0, 0, 0]",$,ChineseAsianTaiwanese
1702,Resistencia Coffee,https://www.tripadvisor.com/Restaurant_Review-g60878-d14798314-Reviews-Resistencia_Coffee-Seattle_Washington.html,5,4,"1249 S Cloverdale St, Seattle, WA 98108-4824","#1,039 of 2,182 Restaurants in Seattle","[4, 0, 0, 0, 0]",,
1703,El Legendario Mexican Restaurant,https://www.tripadvisor.com/Restaurant_Review-g60878-d10352362-Reviews-El_Legendario_Mexican_Restaurant-Seattle_Washington.html,4.5,12,"4705 Aurora Ave N, Seattle, WA 98103-6515","#1,040 of 2,182 Restaurants in Seattle","[9, 1, 0, 0, 1]",$$ - $$$,Mexican
1704,Sultan Gyro Grill,https://www.tripadvisor.com/Restaurant_Review-g60878-d5083703-Reviews-Sultan_Gyro_Grill-Seattle_Washington.html,4.5,10,"4222 University Way NE, Seattle, WA 98105-5807","#1,041 of 2,182 Restaurants in Seattle","[5, 3, 1, 0, 0]",$,MediterraneanTurkishMiddle Eastern
1705,Smile Thai Cuisine,https://www.tripadvisor.com/Restaurant_Review-g60878-d433028-Reviews-Smile_Thai_Cuisine-Seattle_Washington.html,4,17,"6411 Latona Ave NE, Seattle, WA 98115-6556","#1,042 of 2,182 Restaurants in Seattle","[8, 5, 3, 1, 0]",$$ - $$$,AsianThai
1706,Mercurys Coffee Co.,https://www.tripadvisor.com/Restaurant_Review-g58541-d5084424-Reviews-Mercurys_Coffee_Co-Kirkland_Washington.html,5,12,"8506 122nd Ave NE, Kirkland, WA 98033-5831",#5 of 13 Coffee & Tea in Kirkland,"[9, 3, 0, 0, 0]",$$ - $$$,Quick Bites
1707,Teriyaki Time,https://www.tripadvisor.com/Restaurant_Review-g58349-d860282-Reviews-Teriyaki_Time-Bellevue_Washington.html,4,11,"12813 SE 38th St, Bellevue, WA 98006-1326",#131 of 316 Restaurants in Bellevue,"[5, 3, 3, 0, 0]",$,JapaneseAsian
1708,The Lookout,https://www.tripadvisor.com/Restaurant_Review-g60878-d4973867-Reviews-The_Lookout-Seattle_Washington.html,4.5,11,"757 Bellevue Ave E, Seattle, WA 98102-5903","#1,043 of 2,182 Restaurants in Seattle","[5, 6, 0, 0, 0]",,BarPub
1709,Shaburina,https://www.tripadvisor.com/Restaurant_Review-g58702-d19664740-Reviews-Shaburina-Redmond_Washington.html,5,4,"2720 152nd Ave NE Suite 130, Redmond, WA 98052-5885",#44 of 125 Restaurants in Redmond,"[3, 0, 0, 0, 0]",$$ - $$$,ChineseJapaneseAsian
1710,Cone & Steiner,https://www.tripadvisor.com/Restaurant_Review-g60878-d13480730-Reviews-Cone_Steiner-Seattle_Washington.html,4.5,7,"1012 1st Ave, Seattle, WA 98104-1026","#1,044 of 2,182 Restaurants in Seattle","[4, 2, 1, 0, 0]",,American
1711,Subway,https://www.tripadvisor.com/Restaurant_Review-g60878-d5566079-Reviews-Subway-Seattle_Washington.html,3.5,30,"501 Seneca Street, Seattle, WA 98101","#1,045 of 2,182 Restaurants in Seattle","[8, 6, 6, 0, 3]",$,AmericanFast FoodVegetarian Friendly
1712,Teriyaki Town,https://www.tripadvisor.com/Restaurant_Review-g58342-d925676-Reviews-Teriyaki_Town-Bainbridge_Island_Washington.html,3.5,26,"278 Winslow Way E Suite 102, Bainbridge Island, WA 98110-2427",#27 of 41 Restaurants in Bainbridge Island,"[8, 8, 7, 0, 3]",$,JapaneseFast FoodAsian
1713,Poco Wine & Spirits,https://www.tripadvisor.com/Restaurant_Review-g60878-d1394269-Reviews-Poco_Wine_Spirits-Seattle_Washington.html,4.5,19,"1408 E Pine St, Seattle, WA 98122-4032","#1,046 of 2,182 Restaurants in Seattle","[7, 9, 2, 0, 0]",$$ - $$$,BarPubWine Bar
1714,T'Latte,https://www.tripadvisor.com/Restaurant_Review-g58349-d5094162-Reviews-T_Latte-Bellevue_Washington.html,4,13,"37 103rd Ave NE Ste B, Bellevue, WA 98004-5689",#9 of 31 Coffee & Tea in Bellevue,"[4, 6, 2, 0, 0]",$,Quick BitesCafe
1715,Teinei,https://www.tripadvisor.com/Restaurant_Review-g60878-d13307486-Reviews-Teinei-Seattle_Washington.html,4.5,9,"1256 Republican St, Seattle, WA 98109-5538","#1,047 of 2,182 Restaurants in Seattle","[4, 4, 1, 0, 0]",$$ - $$$,JapaneseSushi
